Time,Ave_Temp,Volt,Temp1,Temp2,Temp3,Room_Temp
938.0,47.49592208862305,48.85,47.59502029418945,48.8966064453125,45.99613952636719,24.255111694335938
938.5,47.470542907714844,49.18,47.5623893737793,48.87847900390625,45.970760345458984,24.233036041259766
939.0,47.45603815714518,49.38,47.555137634277344,48.84947204589844,45.963504791259766,24.218318939208984
939.5,47.44999694824219,49.47,47.52975845336914,48.85309982299805,45.967132568359375,24.233036041259766
940.0,47.45120620727539,49.46,47.5406379699707,48.8349723815918,45.97800827026367,24.22935676574707
941.0,47.44021479288737,49.61,47.52602005004883,48.82035446166992,45.97426986694336,24.273393630981445
941.5,47.451090494791664,49.49,47.536895751953125,48.82035446166992,45.99602127075195,24.280752182006836
942.0,47.43900807698568,49.65,47.51877212524414,48.79497528076172,46.00327682495117,24.26971435546875
942.5,47.44384256998698,49.61,47.51514434814453,48.813106536865234,46.00327682495117,24.280752182006836
943.0,47.44729995727539,49.58,47.514976501464844,48.8201904296875,46.00673294067383,24.269542694091797
943.5,47.431756337483726,49.78,47.507896423339844,48.79497528076172,45.99239730834961,24.243959426879883
944.0,47.43175506591797,49.8,47.522396087646484,48.78047180175781,45.99239730834961,24.232921600341797
944.5,47.43538157145182,49.76,47.51514434814453,48.79860305786133,45.99239730834961,24.22188377380371
945.5,47.42191950480143,49.94,47.44609069824219,48.8310661315918,45.98860168457031,24.184917449951172
946.0,47.42554601033529,49.91,47.42796325683594,48.8564453125,45.99222946166992,24.166522979736328
946.5,47.450923919677734,49.61,47.44971466064453,48.896324157714844,46.00673294067383,24.166522979736328
947.0,47.454550425211586,49.57,47.45334243774414,48.9035758972168,46.00673294067383,24.199634552001953
947.5,47.45802561442057,49.54,47.44593811035156,48.92880630493164,45.999332427978516,24.217880249023438
948.0,47.45575841267904,49.59,47.438838958740234,48.928955078125,45.999481201171875,24.240108489990234
948.5,47.46648406982422,49.46,47.435062408447266,48.95780944824219,46.0065803527832,24.250995635986328
949.5,47.49201456705729,49.16,47.48234558105469,48.97608947753906,46.017608642578125,24.284259796142578
950.0,47.50273895263672,49.04,47.49669647216797,48.99768829345703,46.013832092285156,24.30986213684082
950.5,47.526912689208984,48.75,47.54020690917969,49.01581954956055,46.02471160888672,24.28778839111328
951.0,47.53053665161133,48.71,47.55833053588867,49.00494384765625,46.02833557128906,24.243635177612305
951.5,47.52207692464193,48.83,47.56558609008789,48.99406433105469,46.0065803527832,24.258352279663086
952.0,47.52086893717448,48.86,47.56195831298828,48.990440368652344,46.01020812988281,24.280427932739258
952.5,47.52811940511068,48.78,47.56195831298828,49.008567810058594,46.013832092285156,24.320899963378906
953.5,47.54247156778971,48.61,47.57268524169922,49.05554962158203,45.99917984008789,24.3060302734375
954.0,47.55334726969401,48.49,47.57993698120117,49.06279754638672,46.01730728149414,24.3060302734375
954.5,47.55455652872721,48.49,47.583560943603516,49.077301025390625,46.0028076171875,24.317068099975586
955.0,47.565433502197266,48.36,47.601688385009766,49.09180450439453,46.0028076171875,24.302350997924805
955.5,47.56905746459961,48.33,47.601688385009766,49.095428466796875,46.01005554199219,24.29867172241211
956.0,47.549722035725914,48.58,47.59806442260742,49.041046142578125,46.01005554199219,24.309709548950195
956.5,47.540053049723305,48.72,47.583560943603516,49.004791259765625,46.03180694580078,24.324426651000977
957.5,47.51104990641276,49.09,47.54005432128906,48.968536376953125,46.024559020996094,24.29131317138672
958.0,47.49896367390951,49.26,47.507423400878906,48.97578430175781,46.0136833190918,24.29131317138672
958.5,47.49278767903646,49.35,47.50728988647461,48.93577194213867,46.035301208496094,24.232311248779297
959.0,47.48553721110026,49.45,47.49641418457031,48.921268463134766,46.0389289855957,24.206554412841797
959.5,47.48446273803711,49.47,47.492923736572266,48.910526275634766,46.0499382019043,24.199329376220703
960.0,47.475869496663414,49.59,47.47103500366211,48.903141021728516,46.05343246459961,24.195518493652344
960.5,47.48325220743815,49.51,47.47116470336914,48.928653717041016,46.0499382019043,24.221406936645508
961.5,47.47949473063151,49.57,47.43478012084961,48.96477508544922,46.0389289855957,24.258066177368164
962.0,47.47345225016276,49.66,47.4202766418457,48.961151123046875,46.0389289855957,24.217592239379883
962.5,47.48070271809896,49.58,47.43840408325195,48.95027160644531,46.05343246459961,24.195518493652344
963.0,47.4891611735026,49.49,47.44927978515625,48.961151123046875,46.05705261230469,24.213912963867188
963.5,47.50970713297526,49.25,47.48916244506836,48.99378204345703,46.04617691040039,24.224952697753906
964.0,47.526495615641274,49.05,47.518035888671875,49.015403747558594,46.04604721069336,24.239534378051758
964.5,47.54824956258138,48.79,47.55429458618164,49.03715515136719,46.05329895019531,24.26161003112793
965.5,47.58329645792643,48.36,47.63768005371094,49.0407829284668,46.07142639160156,24.27264976501465
966.0,47.602465311686196,48.14,47.691898345947266,49.04423904418945,46.071258544921875,24.268798828125
966.5,47.63388697306315,47.76,47.73540115356445,49.073246002197266,46.093013763427734,24.30191421508789
967.0,47.66547648111979,47.37,47.7935791015625,49.10604476928711,46.096805572509766,24.320480346679688
967.5,47.673936208089195,47.28,47.79720687866211,49.116920471191406,46.10768127441406,24.327838897705078
968.0,47.694313049316406,47.03,47.84779739379883,49.11312484741211,46.12201690673828,24.3460636138916
968.5,47.7053591410319,46.91,47.85884094238281,49.116920471191406,46.140316009521484,24.32415771484375
969.0,47.706398010253906,46.91,47.83329391479492,49.13850402832031,46.147396087646484,24.327667236328125
970.0,47.7136484781901,46.83,47.800662994384766,49.163883209228516,46.17639923095703,24.382858276367188
970.5,47.67497762044271,47.32,47.768035888671875,49.073246002197266,46.183650970458984,24.39389419555664
971.0,47.66289265950521,47.48,47.75715637207031,49.02973937988281,46.2017822265625,24.39389419555664
971.5,47.6447639465332,47.72,47.74990463256836,48.98260498046875,46.2017822265625,24.357101440429688
972.0,47.6314697265625,47.9,47.73540115356445,48.95722579956055,46.2017822265625,24.36446189880371
972.5,47.616966247558594,48.09,47.71002197265625,48.949974060058594,46.19090270996094,24.357101440429688
973.0,47.61077372233073,48.18,47.69174575805664,48.95344924926758,46.18712615966797,24.408458709716797
974.0,47.58176930745443,48.56,47.677242279052734,48.90631866455078,46.161746978759766,24.419496536254883
974.5,47.57708613077799,48.63,47.670143127441406,48.89921569824219,46.16189956665039,24.382858276367188
975.0,47.570892333984375,48.72,47.65549087524414,48.90269088745117,46.15449523925781,24.38270378112793
975.5,47.57089360555013,48.73,47.66636657714844,48.895442962646484,46.15087127685547,24.360628128051758
976.0,47.56001536051432,48.88,47.64823913574219,48.87731170654297,46.15449523925781,24.356948852539062
976.5,47.55155563354492,49.0,47.619232177734375,48.87731170654297,46.15812301635742,24.323833465576172
977.0,47.55276362101237,48.99,47.60472869873047,48.87731170654297,46.17625045776367,24.31279754638672
977.5,47.52859369913737,49.31,47.57210159301758,48.84105682373047,46.17262268066406,24.3275146484375
978.5,47.50200653076172,49.65,47.51409149169922,48.84105682373047,46.15087127685547,24.301759719848633
979.0,47.503214518229164,49.65,47.53221893310547,48.82292938232422,46.15449523925781,24.31279754638672
979.5,47.498251597086586,49.73,47.52121353149414,48.82642364501953,46.147117614746094,24.342100143432617
980.0,47.512882232666016,49.56,47.543094635009766,48.84468078613281,46.15087127685547,24.305438995361328
980.5,47.53342819213867,49.31,47.57572937011719,48.848304748535156,46.17625045776367,24.309118270874023
981.0,47.534637451171875,49.31,47.59748077392578,48.84105682373047,46.165374755859375,24.28704071044922
981.5,47.53088124593099,49.37,47.615478515625,48.82642364501953,46.15074157714844,24.253795623779297
982.5,47.54779942830404,49.17,47.64448165893555,48.84455108642578,46.15436553955078,24.18021011352539
983.0,47.54188664754232,49.25,47.62648391723633,48.848304748535156,46.15087127685547,24.165624618530273
983.5,47.527103424072266,49.45,47.60807418823242,48.826271057128906,46.14696502685547,24.16901969909668
984.0,47.50066630045573,49.79,47.579219818115234,48.80829620361328,46.11448287963867,24.198606491088867
