Time,Ave_Temp,Volt,Integral,Channel2,Channel3,Channel4
20.5,43.555625915527344,73,149.5283260345459,43.12508773803711,43.882835388183594,44.020606994628906,43.193973541259766
21.0,43.61363506317139,54.4,152.7215085029602,43.099708557128906,43.93359375,44.12574768066406,43.29549026489258
21.5,43.68251991271973,45.85,155.88024854660034,43.19759750366211,44.0169792175293,44.17650604248047,43.33899688720703
22.0,43.74778175354004,47.87,159.00635766983032,43.291866302490234,44.08224105834961,44.227264404296875,43.38975524902344
22.5,43.775879859924316,73,162.11841773986816,43.32086944580078,44.002479553222656,44.321529388427734,43.458641052246094
23.0,43.81032371520996,69.91,165.21325588226318,43.33899688720703,44.08586883544922,44.325157165527344,43.49127197265625
23.5,43.84824085235596,67.14,168.2891354560852,43.41135787963867,44.09296798706055,44.357635498046875,43.531002044677734
24.0,43.895524978637695,59.96,171.34137296676636,43.440513610839844,44.154754638671875,44.40129470825195,43.58553695678711
24.5,43.90821361541748,73,174.38726615905762,43.422386169433594,44.187381744384766,44.4302978515625,43.59278869628906
25.0,43.95156955718994,62.56,177.41148138046265,43.45848846435547,44.25611877441406,44.470027923583984,43.62164306640625
25.5,43.984352111816406,70.04,180.41930532455444,43.4840202331543,44.234519958496094,44.539066314697266,43.67980194091797
26.0,44.03964138031006,53.21,183.3994846343994,43.531150817871094,44.307029724121094,44.597076416015625,43.72330856323242
26.5,44.04779815673828,73,186.37558555603027,43.46951675415039,44.31427764892578,44.64058303833008,43.766815185546875
27.0,44.069552421569824,73,189.34080934524536,43.531150817871094,44.35053634643555,44.64058303833008,43.75593948364258
27.5,44.13209342956543,47.43,192.27476263046265,43.62904357910156,44.43754959106445,44.66233444213867,43.79944610595703
28.0,44.137532234191895,73,195.2059965133667,43.56740951538086,44.37591552734375,44.723968505859375,43.882835388183594
28.5,44.1781702041626,63.19,198.1169114112854,43.61076736450195,44.43014907836914,44.745574951171875,43.92618942260742
29.0,44.17288112640381,73,201.0304708480835,43.60366439819336,44.379539489746094,44.74934768676758,43.9589729309082
29.5,44.19554138183594,73,203.93270015716553,43.618167877197266,44.47018051147461,44.77110290527344,43.92271423339844
30.0,44.22092056274414,73,206.82223987579346,43.71605682373047,44.57169723510742,44.709468841552734,43.88645935058594
30.5,44.25989627838135,64.25,209.69229173660278,43.85745620727539,44.651458740234375,44.673213958740234,43.85745620727539
31.0,44.28602981567383,73,212.54927682876587,43.94794464111328,44.69481658935547,44.665809631347656,43.835548400878906
31.5,44.33150100708008,59.04,215.38352632522583,44.04961395263672,44.760223388671875,44.68408966064453,43.83207702636719
