Time,Temp1,Volt,Temp2,Temp3,Room_Temp
13.5,43.23870849609375,70,42.738380432128906,39.80796813964844,21.935142517089844,581.92822265625
14.0,43.235084533691406,70,42.738380432128906,39.84440612792969,21.924104690551758,602.2229690551758
14.5,43.22435760498047,70,42.73490524291992,39.88098907470703,21.913219451904297,622.5498962402344
15.0,43.23146057128906,70,42.73112869262695,39.90998458862305,21.90570831298828,642.8555145263672
15.5,43.24958419799805,70,42.74563217163086,39.90269470214844,21.916744232177734,663.106761932373
16.0,43.28221893310547,70,42.76738357543945,39.90269470214844,21.92778205871582,683.2601051330566
16.5,43.30034637451172,70,42.774635314941406,39.928199768066406,21.935142517089844,703.3590660095215
17.0,43.32572555541992,70,42.78913879394531,39.93912887573242,21.942501068115234,723.3818893432617
17.5,43.32209777832031,70,42.80364227294922,39.93912887573242,21.949859619140625,743.4155960083008
18.0,43.329349517822266,70,42.8217658996582,39.942771911621094,21.953536987304688,763.427547454834
18.5,43.332977294921875,70,42.83626937866211,39.953704833984375,21.957216262817383,783.4286155700684
19.0,43.34385299682617,70,42.854400634765625,39.93184280395508,21.953536987304688,803.3970565795898
19.5,43.36547088623047,70,42.87239074707031,39.920780181884766,21.95708465576172,823.3006439208984
20.0,43.361846923828125,70,42.861515045166016,39.92442321777344,21.946046829223633,843.2151031494141
20.5,43.361846923828125,70,42.88326644897461,39.94628143310547,21.949726104736328,863.1295623779297
21.0,43.39098358154297,70,42.90153121948242,39.97920608520508,21.953536987304688,882.9566116333008
21.5,43.42348098754883,70,42.90864562988281,40.01180648803711,21.960763931274414,902.6861686706543
22.0,43.40911102294922,70,42.90153121948242,40.05544662475586,21.957216262817383,922.4588356018066
22.5,43.419986724853516,70,42.91603469848633,40.08082580566406,21.949859619140625,942.1988754272461
23.0,43.43811798095703,70,42.93778610229492,40.11345291137695,21.957216262817383,961.884521484375
23.5,43.463497161865234,70,42.95591354370117,40.13158416748047,21.938819885253906,981.4940299987793
24.0,43.470611572265625,70,42.959407806396484,40.16407775878906,21.942367553710938,1001.0821952819824
24.5,43.48149108886719,70,42.98841094970703,40.20396041870117,21.938688278198242,1020.6377220153809
