Time,Temp1,Volt,Temp2,Temp3,Room_Temp
23.0,42.167057037353516,70,41.547080993652344,38.88774108886719,21.962440490722656,192.66340255737305
23.5,42.19622802734375,70,41.569000244140625,38.89883804321289,21.951574325561523,196.56528854370117
24.0,42.210731506347656,70,41.58350372314453,38.906124114990234,21.944217681884766,200.45992279052734
24.5,42.22534942626953,70,41.583621978759766,38.93174362182617,21.944332122802734,204.34724807739258
25.0,42.25435256958008,70,41.601749420166016,38.97182083129883,21.948009490966797,208.22007179260254
25.5,42.27973175048828,70,41.62350082397461,39.00096893310547,21.959047317504883,212.0802059173584
26.0,42.29438400268555,70,41.64902877807617,39.02297592163086,21.951841354370117,215.93301391601562
26.5,42.29438400268555,70,41.66353225708008,39.063053131103516,21.944482803344727,219.78582191467285
27.0,42.298160552978516,70,41.66731262207031,39.125144958496094,21.9335994720459,223.6367416381836
27.5,42.27278137207031,70,41.670936584472656,39.128787994384766,21.922561645507812,227.50035095214844
28.0,42.28014373779297,70,41.66741943359375,39.1507568359375,21.907958984375,231.36027908325195
28.5,42.28754806518555,70,41.67482376098633,39.172767639160156,21.915468215942383,235.21650505065918
29.0,42.30552673339844,70,41.69279861450195,39.20176315307617,21.907958984375,239.06374168395996
29.5,42.30929946899414,70,41.707454681396484,39.216487884521484,21.908109664916992,242.9090919494629
30.0,42.31292724609375,70,41.707454681396484,39.23834991455078,21.900753021240234,246.75262832641602
30.5,42.33847427368164,70,41.733001708984375,39.28952407836914,21.900924682617188,250.5833911895752
31.0,42.349464416503906,70,41.73674011230469,39.31513977050781,21.889999389648438,254.40865898132324
31.5,42.3349609375,70,41.7657470703125,39.35886001586914,21.886320114135742,258.24117851257324
32.0,42.33873748779297,70,41.78765106201172,39.36994171142578,21.87543487548828,262.07180976867676
32.5,42.33873748779297,70,41.798526763916016,39.388160705566406,21.87543487548828,265.9024410247803
33.0,42.36426544189453,70,41.82405090332031,39.406524658203125,21.860870361328125,269.720308303833
33.5,42.378883361816406,70,41.86042404174805,39.435787200927734,21.8573055267334,273.5308666229248
34.0,42.397010803222656,70,41.8785514831543,39.457645416259766,21.846267700195312,277.3323612213135
34.5,42.37178039550781,70,41.88595199584961,39.50880432128906,21.842741012573242,281.14647102355957
35.0,42.39353942871094,70,41.904083251953125,39.52702331542969,21.853778839111328,284.9497013092041
35.5,42.411834716796875,70,41.911502838134766,39.545406341552734,21.861309051513672,288.74378395080566
36.0,42.437320709228516,70,41.918861389160156,39.59288024902344,21.865100860595703,292.5251235961914
36.5,42.459075927734375,70,41.926116943359375,39.618385314941406,21.857744216918945,296.2955856323242
